zip,number_payments,total_payments
10457,1404,1990537.1099999985
10460,1336,1720725.9000000004
10467,1227,1731926.4299999992
10456,1171,1526231.64
10458,1064,1520577.7100000014
11207,1055,1579344.5600000008
11212,1054,1538692.4900000007
10466,935,1373108.4000000006
10459,902,1341076.5099999988
10453,900,1198349.1300000004
11208,822,1157816.59
11691,820,1105799.4200000006
10452,802,1070359.8600000008
10472,722,1069395.4099999995
10451,707,833512.0000000008
10455,651,943393.550000001
10469,614,917000.1400000004
11233,614,835510.5599999997
11226,579,995799.7999999995
10468,537,659863.3299999998
10301,518,773653.6900000005
10462,493,669742.7100000003
11221,416,617458.6699999999
11203,413,639584.6299999999
11435,388,725960.3900000002
11236,373,545392.8
11433,351,475643.70999999973
11210,326,606663.01
10454,319,405286.9200000002
11213,315,459086.09000000026
10304,309,418047.64000000013
10473,286,401226.9500000001
10025,285,356063.7599999998
11224,281,353379.14
10029,266,372065.4400000002
11206,262,385142.72
11434,254,335091.53999999986
10474,251,326523.99
10461,250,369588.72000000015
10470,244,348701.08999999997
11412,243,307561.13000000006
10030,242,337959.37000000017
10303,224,346619.6400000001
10039,220,254669.56000000003
11692,216,282510.88000000006
11694,216,265350.0200000001
10027,212,270837.04
11225,209,336625.79999999976
11101,206,333551.7800000001
10037,201,253502.09000000003
10035,193,255313.58000000005
11216,188,253097.17
10031,182,207908.97000000003
10302,181,269394.8599999999
10310,176,254127.71000000005
11368,175,247395.28999999992
11217,170,145251.82000000004
10463,164,213492.35999999996
11238,158,212692.39000000004
10032,150,202705.81000000003
11432,146,213216.32999999996
11239,144,163317.67999999996
10040,142,214241.24999999994
11413,130,196782.42
10033,128,185709.7
10465,122,190756.96
10306,121,173784.35
10034,115,158822.92000000004
11385,113,205329.82999999996
10305,112,148925.85000000003
11230,112,203094.48999999996
11234,112,177458.07000000004
10314,110,172322.52000000002
11237,104,164588.76000000007
10002,103,115490.74999999997
11422,102,149630.99
10026,100,154289.82000000004
11416,99,142756.52000000005
10036,98,83641.37
11423,98,134100.39999999997
11201,91,132414.00000000003
11222,88,123534.60999999999
11420,85,135489.34999999995
11436,84,127366.11
11102,83,126804.26999999999
11214,83,100402.52
11355,83,108358.65999999997
10019,82,118408.30999999998
11220,81,111799.90999999999
10471,73,97489.63
11421,73,108777.55
11418,72,106688.71999999999
10001,71,53521.24
11375,69,106676.57999999997
11223,67,120800.92999999998
11429,65,87529.34999999999
11417,63,105551.65999999999
11235,62,81675.59
11419,61,98561.00000000001
10016,60,59633.88
11229,59,78059.31999999999
11205,58,92899.02999999998
10044,55,81735.58
10023,50,38904.4
11693,48,56938.560000000005
11249,46,36206.079999999994
11204,45,54488.490000000005
11211,45,63672.88000000001
11428,43,66838.11
11374,42,66681.25
11415,42,63851.10000000001
11377,40,56288.21000000001
11219,39,49372.03999999999
10475,36,45211.310000000005
11218,36,56423.35999999999
11354,35,54806.780000000006
11209,34,41641.04
11372,34,50285.97
11373,34,41153.18000000001
11411,34,48879.700000000004
10069,33,27278.069999999996
10312,33,45429.20999999999
10309,31,40138.03
11106,30,46057.46
10009,29,21812.120000000003
10003,27,27136.789999999994
11367,27,34788.32000000001
11104,26,32720.360000000008
10024,24,26158.55
10464,23,33674.74
10022,22,22184.79
10307,20,29642.83
11369,20,27912.45
11232,19,25908.209999999995
11228,18,22456.21
10018,17,17715.94
10038,16,7955.36
11356,16,19975.17
11414,16,23013.170000000002
10028,15,23602.22
11231,15,13223.980000000001
10308,14,20117.95
11103,14,15214.01
11105,14,13700.22
11215,14,15433.55
10010,12,9769.390000000001
11358,12,19496.64
10011,10,7351.24
10128,9,10367.41
11109,9,9661.06
10014,8,6992.54
10065,8,7148
11370,8,11771.42
11379,8,11516.539999999999
11426,8,12776.919999999998
11378,7,8652.4
10017,6,4436.83
10021,6,4532.8
11365,6,7508.469999999999
11427,6,9402.55
10013,5,3669.58
11361,5,8692.06
10075,4,4160.8499999999995
11364,4,4383.63
10580,3,2250
11027,3,2250
11357,3,3658.94
11366,3,4335.85
11430,2,3789
11456,2,1533.0500000000002
10004,1,2085
10012,1,759.63
10235,1,1125.66
10316,1,1647.7
10477,1,810.81
10560,1,881.13
10566,1,2747
11001,1,1123.24
11004,1,863.15
11123,1,1533.82
11242,1,1696
11269,1,1964
11362,1,872
11363,1,2010
11376,1,1818
11431,1,1704
11632,1,2172
11696,1,1571.94
11756,1,846.75
