zip,no_payments,amount_total,modzcta,zcta,pop_est,nyc,NAME,medincomeE,medincomeM,county,total_pop,total_vouchers,prop_pop,prop_vouchers
10001,84,69013,10001,"10001, 10119, 10199",23072,TRUE,ZCTA5 10001,106509,9423,New York,8872576,45429,0.26003722030670684,0.18490391600079245
10002,131,154325,10002,10002,74993,TRUE,ZCTA5 10002,43362,5737,New York,8872576,45429,0.84522240215243,0.2883620594774263
10003,33,33249,10003,10003,54682,TRUE,ZCTA5 10003,152863,10149,New York,8872576,45429,0.6163035402570798,0.07264082414316847
10009,39,42564,10009,10009,57925,TRUE,ZCTA5 10009,83344,8153,New York,8872576,45429,0.6528543683367716,0.08584824671465363
10010,23,28632,10010,10010,33730,TRUE,ZCTA5 10010,150288,23588,New York,8872576,45429,0.380160169943881,0.050628453190693166
10011,16,22314,10011,10011,50472,TRUE,ZCTA5 10011,145934,17135,New York,8872576,45429,0.5688539607888397,0.035219793523960465
10012,1,1022,10012,10012,23411,TRUE,ZCTA5 10012,126890,11459,New York,8872576,45429,0.26385798216887635,0.002201237095247529
10013,6,5821,10013,10013,28709,TRUE,ZCTA5 10013,150675,24174,New York,8872576,45429,0.32357006578472813,0.013207422571485173
10014,8,7026,10014,10014,30738,TRUE,ZCTA5 10014,147267,15234,New York,8872576,45429,0.34643828353794887,0.017609896761980232
10016,51,48976,10016,10016,51057,TRUE,ZCTA5 10016,145864,12565,New York,8872576,45429,0.5754473109049728,0.112263091857624
10017,8,6257,10017,"10017, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177",15801,TRUE,ZCTA5 10017,139964,25136,New York,8872576,45429,0.17808807723934963,0.017609896761980232
10018,25,28867,10018,10018,9687,TRUE,ZCTA5 10018,149118,28258,New York,8872576,45429,0.10917911551278907,0.05503092738118823
10019,95,144379,10019,"10019, 10020, 10103, 10111, 10112",43703,TRUE,ZCTA5 10019,113335,13895,New York,8872576,45429,0.49256270106900185,0.20911752404851527
10021,11,11263,10021,10021,46215,TRUE,ZCTA5 10021,149432,14460,New York,8872576,45429,0.520874659174517,0.02421360804772282
10022,9,12395,10022,"10022, 10152, 10153, 10154",31125,TRUE,ZCTA5 10022,161236,21547,New York,8872576,45429,0.35080003823016,0.019811133857227763
10023,65,55533,10023,10023,62435,TRUE,ZCTA5 10023,151468,15653,New York,8872576,45429,0.7036851529927723,0.14308041119108938
10024,35,41620,10024,10024,59001,TRUE,ZCTA5 10024,166994,16881,New York,8872576,45429,0.6649816242768729,0.07704329833366351
10025,292,373874,10025,10025,92805,TRUE,ZCTA5 10025,106916,7394,New York,8872576,45429,1.0459758248337347,0.6427612318122785
10026,123,193618,10026,10026,39363,TRUE,ZCTA5 10026,68831,7178,New York,8872576,45429,0.4436479326860655,0.27075216271544605
10027,279,384376,10027,"10027, 10115",64548,TRUE,ZCTA5 10027,63125,7297,New York,8872576,45429,0.727500108198566,0.6141451495740606
