CFHEPS Amount,ZIP,month,Timely Issuance,Agency Action 
"$3,367",10001,9/1/2024,Timely,N/A
"$2,954",10001,9/1/2024,Timely,N/A
"$1,557",10001,9/1/2024,Timely,N/A
"$1,432",10001,9/1/2024,Timely,N/A
"$1,419",10001,9/1/2024,Timely,N/A
"$1,362",10001,9/1/2024,Timely,N/A
"$1,340",10001,9/1/2024,Timely,N/A
"$1,249",10001,9/1/2024,Timely,N/A
"$1,244",10001,9/1/2024,Timely,N/A
"$1,146",10001,9/1/2024,Timely,N/A
"$1,113",10001,9/1/2024,Timely,N/A
"$1,100",10001,9/1/2024,Timely,N/A
"$1,067",10001,9/1/2024,Timely,N/A
"$1,065",10001,9/1/2024,Timely,N/A
"$1,055",10001,9/1/2024,Timely,N/A
"$1,050",10001,9/1/2024,Timely,N/A
"$1,050",10001,9/1/2024,Timely,N/A
"$1,040",10001,9/1/2024,Timely,N/A
"$1,040",10001,9/1/2024,Timely,N/A
$984,10001,9/1/2024,Timely,N/A
$982,10001,9/1/2024,Timely,N/A
$982,10001,9/1/2024,Timely,N/A
$982,10001,9/1/2024,Timely,N/A
$975,10001,9/1/2024,Timely,N/A
$972,10001,9/1/2024,Timely,N/A
$950,10001,9/1/2024,Timely,N/A
$949,10001,9/1/2024,Timely,N/A
$947,10001,9/1/2024,Timely,N/A
$934,10001,9/1/2024,Timely,N/A
$932,10001,9/1/2024,Timely,N/A
$919,10001,9/1/2024,Timely,N/A
$900,10001,9/1/2024,Timely,N/A
$895,10001,9/1/2024,Timely,N/A
$890,10001,9/1/2024,Timely,N/A
$886,10001,9/1/2024,Timely,N/A
$866,10001,9/1/2024,Timely,N/A
$857,10001,9/1/2024,Timely,N/A
$814,10001,9/1/2024,Timely,N/A
$793,10001,9/1/2024,Timely,N/A
$786,10001,9/1/2024,Timely,N/A
$783,10001,9/1/2024,Timely,N/A
$774,10001,9/1/2024,Timely,N/A
$770,10001,9/1/2024,Timely,N/A
$764,10001,9/1/2024,Timely,N/A
$763,10001,9/1/2024,Timely,N/A
$758,10001,9/1/2024,Timely,N/A
$737,10001,9/1/2024,Timely,N/A
$731,10001,9/1/2024,Timely,N/A
$717,10001,9/1/2024,Timely,N/A
$699,10001,9/1/2024,Timely,N/A
$695,10001,9/1/2024,Timely,N/A
$689,10001,9/1/2024,Timely,N/A
$684,10001,9/1/2024,Timely,N/A
$657,10001,9/1/2024,Timely,N/A
$653,10001,9/1/2024,Timely,N/A
$651,10001,9/1/2024,Timely,N/A
$632,10001,9/1/2024,Timely,N/A
$613,10001,9/1/2024,Timely,N/A
$581,10001,9/1/2024,Timely,N/A
$575,10001,9/1/2024,Timely,N/A
$558,10001,9/1/2024,Timely,N/A
$556,10001,9/1/2024,Timely,N/A
$535,10001,9/1/2024,Timely,N/A
$527,10001,9/1/2024,Timely,N/A
$518,10001,9/1/2024,Timely,N/A
$507,10001,9/1/2024,Timely,N/A
$485,10001,9/1/2024,Timely,N/A
$480,10001,9/1/2024,Timely,N/A
$465,10001,9/1/2024,Timely,N/A
$463,10001,9/1/2024,Timely,N/A
$458,10001,9/1/2024,Timely,N/A
$435,10001,9/1/2024,Timely,N/A
$417,10001,9/1/2024,Timely,N/A
$394,10001,9/1/2024,Timely,N/A
$386,10001,9/1/2024,Timely,N/A
$340,10001,9/1/2024,Timely,N/A
$308,10001,9/1/2024,Timely,N/A
$302,10001,9/1/2024,Timely,N/A
$293,10001,9/1/2024,Timely,N/A
$265,10001,9/1/2024,Timely,N/A
$182,10001,9/1/2024,Timely,N/A
$175,10001,9/1/2024,Timely,N/A
$146,10001,9/1/2024,Timely,N/A
$47,10001,9/1/2024,Timely,N/A
"$3,320",10002,9/1/2024,Timely,N/A
"$2,884",10002,9/1/2024,Timely,N/A
"$2,489",10002,9/1/2024,Timely,N/A
"$2,334",10002,9/1/2024,Timely,N/A
"$2,330",10002,9/1/2024,Timely,N/A
"$2,189",10002,9/1/2024,Timely,N/A
"$2,106",10002,9/1/2024,Timely,N/A
